,date,parks,away,home,homewin,etcs,times,day,visit,place,number_audience
181,2018/05/10,고척,한화,넥센,lose,-, 18:30 ,목,한화,고척,9703
182,2018/05/11,대전,NC,한화,lose,-, 18:30 ,금,NC,대전,12312
183,2018/05/13,대전,NC,한화,win,-, 14:00 ,일,NC,대전,13000
184,2018/05/15,대전,KT,한화,lose,-, 18:30 ,화,KT,대전,10454
185,2018/05/16,대전,KT,한화,win,-, 18:30 ,수,KT,대전,7053
186,2018/05/17,대전,KT,한화,win,-, 18:30 ,목,KT,대전,6770
187,2018/05/18,잠실,한화,LG,lose,-, 18:30 ,금,한화,잠실,21431
188,2018/05/19,잠실,한화,LG,lose,-, 17:00 ,토,한화,잠실,25000
189,2018/05/20,잠실,한화,LG,win,-, 14:00 ,일,한화,잠실,25000
190,2018/05/22,대전,두산,한화,win,-, 14:00 ,화,두산,대전,13000
191,2018/05/23,대전,두산,한화,win,-, 18:30 ,수,두산,대전,12357
192,2018/05/24,대전,두산,한화,lose,-, 18:30 ,목,두산,대전,13000
193,2018/05/29,대전,NC,한화,win,-, 18:30 ,화,NC,대전,9158
194,2018/05/30,대전,NC,한화,win,-, 18:30 ,수,NC,대전,10458
195,2018/05/31,대전,NC,한화,lose,-, 18:30 ,목,NC,대전,11479
196,2018/05/01,마산,넥센,NC,lose,-, 18:30 ,화,넥센,마산,6524
197,2018/05/02,마산,넥센,NC,win,-, 18:30 ,수,넥센,마산,3098
198,2018/05/03,마산,넥센,NC,lose,-, 18:30 ,목,넥센,마산,4334
199,2018/05/04,수원,넥센,KT,lose,-, 18:30 ,금,넥센,수원,5572
200,2018/05/05,수원,넥센,KT,lose,-, 14:00 ,토,넥센,수원,15090
201,2018/05/11,잠실,넥센,두산,lose,-, 18:30 ,금,넥센,잠실,14269
202,2018/05/13,잠실,넥센,두산,lose,-, 14:00 ,일,넥센,잠실,17813
203,2018/05/15,고척,KIA,넥센,lose,-, 18:30 ,화,KIA,고척,12250
204,2018/05/16,고척,KIA,넥센,win,-, 18:30 ,수,KIA,고척,11273
